pdb	ca	DGvina	DGfx	DGexp	DGexp2  DGvinaH	DGfxP	DGvinaR	SAS1.4   SAS0.7   SAS0.5   SAS0.3    SAS0.6   SAS0.4
1thm	1	2.0	14.6	13.6	13.6    2.0	14.8	2.0	0.0000   0.0000   0.0191   2.5716    0.0000   0.7719  	
1thm	2	1.4	5.9	NA	NA      1.4	6.4	1.4	2.7900   6.3757   7.3670   9.0182    7.0185   7.8169  
1scd	1	1.6	8.5	9.3	9.8     1.8	9.2	1.9	0.0000   0.0000   0.7424   4.3318    0.0195   2.0899  	
1scd	2	1.1	-0.9	4.1	4.1     1.1	NA	1.1	 2.7730   14.603   14.932   14.6235   15.149   14.6808
1b90	1	1.3	9.1	12.3	11.6    1.3	9.0	1.3	0.0000   3.9918   6.6857   9.3109    5.1649   7.7876  	
5pal	1	1.7	9.3	12.8	12.8    1.7	10.5	1.7	0.6617   2.8212   3.6725   5.8795    3.1029   4.3368  	
5pal	2	1.9	14.9	12.8	12.8    1.9	15.5	1.9	0.0000   0.0000   0.1507   2.6020    0.0160   1.0628  	
1fj3	1	1.8	1.7	5.0	5.0     1.8	7.0	1.8	0.0000   3.0016   4.1775    10.2154  3.4767    6.5660 	
1fj3	2	1.2	0.6	5.0	5.0     1.2	4.9	1.2	1.0166   9.1472   10.2692   12.7081   9.6284   11.4808	
1fj3	3	1.2	1.7	5.0	5.0     1.2	3.9	1.2	 13.8698 13.0111   12.526   13.6337  12.6891   13.0149
1fj3	4	1.4	-1.2	NA	NA      1.4	NA	1.4	5.4927   8.3014    9.6640   12.9969  8.5805    10.8776
1glg	1	1.9	13.5	7.8	8.6     1.3	14.6	1.9	0.0000   0.0000   0.0702   1.6573    0.0018   0.3903  	
1psh	1	1.3	-22	4.9	4.9     1.3	6.5	1.3	1.1565   4.1255   4.7104   5.3794    4.4124   5.0409  
1psh	2	1.0	0.2	4.9	4.9     1.0	9.9	1.0	0.5614   3.1698   3.7687   4.2885    3.4687   4.0434  
1psh	3	1.2	-73	4.9	4.9     1.2	8.4	1.2	0.2819   3.0962   3.7502   4.4754    3.4230   4.1024  
1snc	1	1.1	1.7	5.9	5.9     1.1	3.7	1.1	3.3322   10.9235  11.1648   12.2974  11.0161   11.6225
4icb	1	1.7	8.7	11.3	11.3    1.7	9.2	1.7	0.2813   2.4816   3.0446   5.1942    2.7309   3.8116  	
4icb	2	1.7	9.5	11.3	10.8    1.7	11.2	1.7	0.5136   3.0569   3.8911   5.9082    3.4067   4.6325  	
1exr	1	1.7	9.0	8.9	8.9     1.7	10.0	1.7	0.3446   2.8296   3.4713   5.3007    3.0632   4.1552  	
1exr	2	1.7	12.4	10	10      1.7	11.1	1.7	0.0000   3.7807   4.4402   6.1322    4.1426   4.9419  	
1exr	3	1.7	7.5	8.9	8.9     1.7	9.2	1.7	0.0000   2.4006   3.1771   5.0190    2.7358   3.7886  	
1exr	4	0.6	-0.8	-1.2	-1.2    0.6	NA	0.6	 32.5028  23.567   19.986   16.7253   21.739   18.3122
1exr	5	1.7	10.3	10	10      1.2	10.8	1.7	0.8491   2.7332   3.1962   4.9436    2.9610   3.7697  	
3cln	1	1.7	9.6	8.9	8.9     1.7	11.2	1.7	1.0840   2.8027   3.4040   5.8318    3.0409   4.0232  	
3cln	2	1.6	8.6	10	10      1.6	10.8	1.6	0.3748   3.0780   3.4982   4.6969    3.2738   3.8239  	
3cln	3	1.5	4.2	8.9	8.9     1.1	7.6	1.5	0.5150   2.1363   2.6383   3.8965    2.3773   3.0800  	
